Province/State,Country/Region,Date,Confirmed,Deaths,Recovered,Active,WHO Region,TrueConfirmed,Anomaly
Tibet,China,2020-01-30,1,0,0,1,Western Pacific,1,False
0,Lebanon,2020-07-08,1946,36,1368,542,Eastern Mediterranean,1946,False
Inner Mongolia,China,2020-06-15,238,1,234,3,Western Pacific,238,False
0,Ukraine,2020-02-09,0,0,0,0,Europe,0,False
0,Sudan,2020-05-11,1526,74,162,1290,Eastern Mediterranean,1526,False
0,Venezuela,2020-05-22,944,10,262,672,Americas,944,False
0,Cote d'Ivoire,2020-05-15,2017,24,942,1051,Africa,2017,False
0,Turkey,2020-06-12,175218,4778,149102,21338,Europe,175218,False
0,Western Sahara,2020-05-30,9,1,6,2,Africa,9,False
Falkland Islands (Malvinas),United Kingdom,2020-05-05,13,0,13,0,Europe,13,False
0,Slovakia,2020-01-28,0,0,0,0,Europe,0,False
0,Namibia,2020-02-15,0,0,0,0,Africa,0,False
0,Saint Kitts and Nevis,2020-06-03,15,0,15,0,Americas,15,False
0,Bulgaria,2020-03-21,163,3,3,157,Europe,163,False
0,Madagascar,2020-03-19,0,0,0,0,Africa,0,False
0,Lebanon,2020-02-06,0,0,0,0,Eastern Mediterranean,0,False
Tibet,China,2020-02-04,1,0,0,1,Western Pacific,1,False
Greenland,Greenland,2020-06-13,13,0,13,0,Europe,13,False
0,Afghanistan,2020-02-23,0,0,0,0,Eastern Mediterranean,0,False
0,Guatemala,2020-04-17,214,7,21,186,Americas,214,False
0,Cote d'Ivoire,2020-07-18,13912,91,8000,5821,Africa,13912,False
0,Hungary,2020-07-09,4220,591,2887,742,Europe,4220,False
0,Malta,2020-05-05,482,5,403,74,Europe,482,False
0,Namibia,2020-07-03,350,0,25,325,Africa,350,False
0,Uzbekistan,2020-07-27,21209,121,11674,9414,Europe,21209,False
Mayotte,France,2020-07-26,2862,38,2650,174,Europe,2862,False
0,South Sudan,2020-05-30,994,10,6,978,Africa,994,False
0,Austria,2020-05-11,15882,620,14061,1201,Europe,15882,False
Hubei,China,2020-07-18,68135,4512,63623,0,Western Pacific,68135,False
0,West Bank and Gaza,2020-06-09,481,3,404,74,Eastern Mediterranean,481,False
0,Tunisia,2020-06-23,1159,50,1023,86,Eastern Mediterranean,1159,False
0,Czechia,2020-03-16,298,0,3,295,Europe,298,False
Hubei,China,2020-07-22,68135,4512,63623,0,Western Pacific,68135,False
Chongqing,China,2020-04-04,579,6,570,3,Western Pacific,579,False
0,Haiti,2020-05-25,958,27,22,909,Americas,958,False
0,Bhutan,2020-06-16,67,0,24,43,South-East Asia,67,False
0,Uruguay,2020-04-01,350,2,62,286,Americas,350,False
0,Lithuania,2020-07-27,2019,80,1620,319,Europe,2019,False
Hunan,China,2020-07-13,1019,4,1015,0,Western Pacific,1019,False
0,Sudan,2020-02-16,0,0,0,0,Eastern Mediterranean,0,False
Northern Territory,Australia,2020-07-22,31,0,30,1,Western Pacific,31,False
0,Togo,2020-03-26,23,0,1,22,Africa,23,False
Tibet,China,2020-05-11,1,0,1,0,Western Pacific,1,False
0,Bulgaria,2020-03-08,4,0,0,4,Europe,4,False
Chongqing,China,2020-07-18,583,6,576,1,Western Pacific,583,False
0,Afghanistan,2020-02-20,0,0,0,0,Eastern Mediterranean,0,False
Yunnan,China,2020-07-16,188,2,183,3,Western Pacific,188,False
0,North Macedonia,2020-02-02,0,0,0,0,Europe,0,False
0,Tanzania,2020-04-24,299,10,48,241,Africa,299,False
0,Niger,2020-04-05,184,10,13,161,Africa,184,False
Western Australia,Australia,2020-04-12,514,6,216,292,Western Pacific,514,False
Xinjiang,China,2020-07-11,76,3,73,0,Western Pacific,76,False
0,Gambia,2020-07-18,93,4,49,40,Africa,93,False
0,Saint Vincent and the Grenadines,2020-04-03,3,0,1,2,Americas,3,False
Aruba,Netherlands,2020-02-03,0,0,0,0,Europe,0,False
New Caledonia,France,2020-04-11,18,0,1,17,Europe,18,False
Guangdong,China,2020-05-20,1590,8,1579,3,Western Pacific,1590,False
0,Dominica,2020-02-07,0,0,0,0,Americas,0,False
0,Comoros,2020-01-24,0,0,0,0,Africa,0,False
0,Somalia,2020-07-26,3178,93,1521,1564,Eastern Mediterranean,3178,False
0,Ghana,2020-06-18,12929,66,4468,8395,Africa,12929,False
Newfoundland and Labrador,Canada,2020-03-27,102,0,0,102,Americas,102,False
0,Chad,2020-05-16,474,50,111,313,Africa,474,False
0,Mozambique,2020-07-02,918,6,0,912,Africa,918,False
0,Bahrain,2020-06-26,24805,73,19137,5595,Eastern Mediterranean,24805,False
Yunnan,China,2020-03-16,176,2,172,2,Western Pacific,176,False
Saskatchewan,Canada,2020-02-22,0,0,0,0,Americas,0,False
0,Gambia,2020-02-02,0,0,0,0,Africa,0,False
Zhejiang,China,2020-03-19,1233,1,1217,15,Western Pacific,1233,False
Aruba,Netherlands,2020-04-03,62,0,1,61,Europe,62,False
0,Argentina,2020-03-19,97,3,3,91,Americas,97,False
Gansu,China,2020-04-13,139,2,135,2,Western Pacific,139,False
0,Brazil,2020-06-02,555383,31199,223638,300546,Americas,555383,False
Guangxi,China,2020-02-03,127,0,7,120,Western Pacific,127,False
0,Brunei,2020-01-29,0,0,0,0,Western Pacific,0,False
0,Burma,2020-04-20,119,5,7,107,South-East Asia,119,False
0,Central African Republic,2020-06-04,1288,4,23,1261,Africa,1288,False
Sint Maarten,Netherlands,2020-04-28,75,13,33,29,Europe,75,False
0,Singapore,2020-03-21,432,2,140,290,Western Pacific,432,False
Xinjiang,China,2020-05-27,76,3,73,0,Western Pacific,76,False
0,Mali,2020-01-31,0,0,0,0,Africa,0,False
0,Andorra,2020-07-13,858,52,803,3,Europe,858,False
0,Japan,2020-03-03,298,6,43,249,Western Pacific,298,False
0,Greece,2020-03-16,331,4,8,319,Europe,331,False
0,Bosnia and Herzegovina,2020-05-11,2141,113,1114,914,Europe,2141,False
Quebec,Canada,2020-07-01,55524,5527,0,49997,Americas,55524,False
Curacao,Netherlands,2020-05-20,16,1,14,1,Europe,16,False
0,Guinea,2020-03-09,0,0,0,0,Africa,0,False
0,Trinidad and Tobago,2020-02-23,0,0,0,0,Americas,0,False
0,Austria,2020-04-15,14336,393,8098,5845,Europe,14336,False
Queensland,Australia,2020-07-21,1073,6,1062,5,Western Pacific,1073,False
0,Liberia,2020-02-16,0,0,0,0,Africa,0,False
Tianjin,China,2020-02-16,124,3,45,76,Western Pacific,124,False
0,Pakistan,2020-03-16,236,0,2,234,Eastern Mediterranean,236,False
0,Bolivia,2020-03-03,0,0,0,0,Americas,0,False
0,Algeria,2020-02-20,0,0,0,0,Africa,0,False
British Virgin Islands,United Kingdom,2020-07-13,8,1,7,0,Europe,8,False
Western Australia,Australia,2020-04-27,549,8,486,55,Western Pacific,549,False
0,Laos,2020-02-26,0,0,0,0,Western Pacific,0,False
0,Haiti,2020-06-02,2226,45,24,2157,Americas,2226,False
0,Brunei,2020-02-26,0,0,0,0,Western Pacific,0,False
0,Egypt,2020-03-07,15,0,1,14,Eastern Mediterranean,15,False
0,Liberia,2020-07-20,1107,70,547,490,Africa,1107,False
Saskatchewan,Canada,2020-05-04,467,7,0,460,Americas,467,False
Hubei,China,2020-04-04,67803,3207,63762,834,Western Pacific,67803,False
0,South Sudan,2020-04-23,5,0,0,5,Africa,5,False
Manitoba,Canada,2020-06-26,318,7,0,311,Americas,318,False
Jiangxi,China,2020-06-09,932,1,931,0,Western Pacific,932,False
0,Bahrain,2020-02-29,41,0,0,41,Eastern Mediterranean,41,False
0,Ecuador,2020-04-16,8225,403,838,6984,Americas,8225,False
0,Laos,2020-06-16,19,0,19,0,Western Pacific,19,False
0,Tunisia,2020-06-01,1084,48,964,72,Eastern Mediterranean,1084,False
0,South Africa,2020-02-10,0,0,0,0,Africa,0,False
0,Dominica,2020-05-09,16,0,14,2,Americas,16,False
0,Guinea-Bissau,2020-03-27,2,0,0,2,Africa,2,False
0,Cabo Verde,2020-07-14,1722,19,772,931,Africa,1722,False
St Martin,France,2020-07-25,49,3,41,5,Europe,49,False
0,Luxembourg,2020-05-25,3993,110,3781,102,Europe,3993,False
Bermuda,United Kingdom,2020-03-14,0,0,0,0,Europe,0,False
0,Haiti,2020-06-20,5077,88,24,4965,Americas,5077,False
Guangdong,China,2020-02-26,1347,7,851,489,Western Pacific,1347,False
0,Namibia,2020-03-10,0,0,0,0,Africa,0,False
0,Dominican Republic,2020-05-24,14801,458,8133,6210,Americas,14801,False
0,Colombia,2020-07-16,173206,6029,71736,95441,Americas,173206,False
Saint Pierre and Miquelon,France,2020-03-09,0,0,0,0,Europe,0,False
0,Azerbaijan,2020-01-26,0,0,0,0,Europe,0,False
0,Antigua and Barbuda,2020-04-02,9,0,0,9,Americas,9,False
Aruba,Netherlands,2020-02-11,0,0,0,0,Europe,0,False
Hong Kong,China,2020-03-08,114,3,58,53,Western Pacific,114,False
0,Malaysia,2020-02-12,18,0,3,15,Western Pacific,18,False
0,Tajikistan,2020-04-23,0,0,0,0,Europe,0,False
Shaanxi,China,2020-06-17,314,3,306,5,Western Pacific,314,False
South Australia,Australia,2020-07-03,443,4,436,3,Western Pacific,443,False
0,Algeria,2020-07-25,26764,1146,18076,7542,Africa,26764,False
0,Armenia,2020-02-16,0,0,0,0,Europe,0,False
0,Ecuador,2020-03-16,37,2,0,35,Americas,37,False
0,Hungary,2020-02-20,0,0,0,0,Europe,0,False
0,Uruguay,2020-07-12,987,31,896,60,Americas,987,False
0,Namibia,2020-03-08,0,0,0,0,Africa,0,False
0,Ukraine,2020-01-23,0,0,0,0,Europe,0,False
Hunan,China,2020-05-27,1019,4,1015,0,Western Pacific,1019,False
0,Pakistan,2020-01-24,0,0,0,0,Eastern Mediterranean,0,False
0,Poland,2020-07-15,38721,1594,28492,8635,Europe,38721,False
0,Nepal,2020-05-08,102,0,31,71,South-East Asia,102,False
South Australia,Australia,2020-05-11,439,4,434,1,Western Pacific,439,False
Sint Maarten,Netherlands,2020-02-12,0,0,0,0,Europe,0,False
0,Tanzania,2020-04-09,25,1,5,19,Africa,25,False
Reunion,France,2020-04-20,408,0,237,171,Europe,408,False
0,Armenia,2020-03-18,84,0,1,83,Europe,84,False
0,Antigua and Barbuda,2020-05-07,25,3,16,6,Americas,25,False
0,Burma,2020-01-26,0,0,0,0,South-East Asia,0,False
0,Burkina Faso,2020-02-18,0,0,0,0,Africa,0,False
Martinique,France,2020-05-20,192,14,91,87,Europe,192,False
0,Brunei,2020-01-27,0,0,0,0,Western Pacific,0,False
0,Madagascar,2020-03-24,17,0,0,17,Africa,17,False
New South Wales,Australia,2020-06-11,3115,48,2743,324,Western Pacific,3115,False
British Virgin Islands,United Kingdom,2020-07-14,8,1,7,0,Europe,8,False
New South Wales,Australia,2020-07-19,3588,49,2988,551,Western Pacific,3588,False
0,Yemen,2020-02-02,0,0,0,0,Eastern Mediterranean,0,False
0,New Zealand,2020-05-15,1498,21,1428,49,Western Pacific,1498,False
0,Bhutan,2020-02-02,0,0,0,0,South-East Asia,0,False
0,Honduras,2020-02-25,0,0,0,0,Americas,0,False
0,Guinea-Bissau,2020-06-30,1654,24,317,1313,Africa,1654,False
0,Madagascar,2020-05-26,586,2,147,437,Africa,586,False
0,Georgia,2020-06-15,879,14,704,161,Europe,879,False
0,Latvia,2020-05-12,950,18,627,305,Europe,950,False
Curacao,Netherlands,2020-02-07,0,0,0,0,Europe,0,False
Jilin,China,2020-05-23,155,2,128,25,Western Pacific,155,False
0,Argentina,2020-05-04,4887,260,1442,3185,Americas,4887,False
0,Iraq,2020-06-25,39139,1437,18051,19651,Eastern Mediterranean,39139,False
0,Afghanistan,2020-02-29,1,0,0,1,Eastern Mediterranean,1,False
Beijing,China,2020-06-22,843,9,584,250,Western Pacific,843,False
Tianjin,China,2020-02-18,128,3,48,77,Western Pacific,128,False
0,Estonia,2020-05-31,1869,68,1624,177,Europe,1869,False
Hunan,China,2020-06-28,1019,4,1015,0,Western Pacific,1019,False
0,Belarus,2020-06-08,49453,276,23880,25297,Europe,49453,False
0,Serbia,2020-02-21,0,0,0,0,Europe,0,False
Prince Edward Island,Canada,2020-01-26,0,0,0,0,Americas,0,False
0,Sierra Leone,2020-06-03,909,47,491,371,Africa,909,False
0,Guatemala,2020-03-10,0,0,0,0,Americas,0,False
0,San Marino,2020-04-06,266,32,35,199,Europe,266,False
0,Eswatini,2020-03-11,0,0,0,0,Africa,0,False
Hainan,China,2020-06-24,171,6,163,2,Western Pacific,171,False
0,Mauritania,2020-03-14,1,0,0,1,Africa,1,False
0,Cyprus,2020-05-22,927,17,561,349,Europe,927,False
Turks and Caicos Islands,United Kingdom,2020-05-09,12,1,8,3,Europe,12,False
Aruba,Netherlands,2020-07-05,105,3,98,4,Europe,105,False
Northwest Territories,Canada,2020-06-21,5,0,0,5,Americas,5,False
0,Gabon,2020-03-17,1,0,0,1,Africa,1,False
0,Belarus,2020-05-15,27730,156,8807,18767,Europe,27730,False
0,Ethiopia,2020-03-08,0,0,0,0,Africa,0,False
0,Estonia,2020-04-18,1512,38,162,1312,Europe,1512,False
Sichuan,China,2020-07-25,603,3,594,6,Western Pacific,603,False
0,Gambia,2020-02-07,0,0,0,0,Africa,0,False
0,Rwanda,2020-03-25,41,0,0,41,Africa,41,False
0,Sweden,2020-06-05,42939,4639,0,38300,Europe,42939,False
0,Cabo Verde,2020-03-21,3,0,0,3,Africa,3,False
0,Mongolia,2020-07-15,261,0,209,52,Western Pacific,261,False
0,Kuwait,2020-06-10,33823,275,23288,10260,Eastern Mediterranean,33823,False
0,Holy See,2020-07-23,12,0,12,0,Europe,12,False
0,Sweden,2020-05-10,26322,3225,0,23097,Europe,26322,False
0,Sri Lanka,2020-04-21,310,7,102,201,South-East Asia,310,False
0,Egypt,2020-04-02,865,58,201,606,Eastern Mediterranean,865,False
0,Barbados,2020-04-01,34,0,0,34,Americas,34,False
Faroe Islands,Denmark,2020-05-28,187,0,187,0,Europe,187,False
0,Papua New Guinea,2020-07-16,11,0,8,3,Western Pacific,11,False
0,Burma,2020-02-27,0,0,0,0,South-East Asia,0,False
0,Senegal,2020-02-20,0,0,0,0,Africa,0,False
Jiangxi,China,2020-05-04,937,1,936,0,Western Pacific,937,False
0,Tajikistan,2020-04-22,0,0,0,0,Europe,0,False
0,Bahamas,2020-04-11,46,8,5,33,Americas,46,False
0,Saint Kitts and Nevis,2020-03-10,0,0,0,0,Americas,0,False
Inner Mongolia,China,2020-05-23,217,1,199,17,Western Pacific,217,False
0,Ethiopia,2020-03-31,26,0,2,24,Africa,26,False
0,Saudi Arabia,2020-01-24,0,0,0,0,Eastern Mediterranean,0,False
0,Iceland,2020-02-28,1,0,0,1,Europe,1,False
0,India,2020-03-19,194,4,15,175,South-East Asia,194,False
Saint Pierre and Miquelon,France,2020-05-07,1,0,0,1,Europe,1,False
0,United Arab Emirates,2020-05-31,34557,264,17932,16361,Eastern Mediterranean,34557,False
British Columbia,Canada,2020-04-11,1445,58,0,1387,Americas,1445,False
0,Zimbabwe,2020-02-15,0,0,0,0,Africa,0,False
0,Morocco,2020-02-19,0,0,0,0,Eastern Mediterranean,0,False
0,South Sudan,2020-05-08,120,0,2,118,Africa,120,False
Jiangsu,China,2020-06-17,653,0,653,0,Western Pacific,653,False
0,Kosovo,2020-04-28,790,22,232,536,Europe,790,False
Manitoba,Canada,2020-06-08,300,7,0,293,Americas,300,False
0,Laos,2020-03-30,8,0,0,8,Western Pacific,8,False
0,Malaysia,2020-07-22,8831,123,8566,142,Western Pacific,8831,False
Mayotte,France,2020-07-10,2711,37,2480,194,Europe,2711,False
Isle of Man,United Kingdom,2020-03-16,0,0,0,0,Europe,0,False
0,Nicaragua,2020-04-28,13,3,7,3,Americas,13,False
0,Sao Tome and Principe,2020-06-18,688,12,191,485,Africa,688,False
0,Madagascar,2020-06-29,2138,20,966,1152,Africa,2138,False
0,Luxembourg,2020-03-03,1,0,0,1,Europe,1,False
British Columbia,Canada,2020-03-19,231,7,0,224,Americas,231,False
Sint Maarten,Netherlands,2020-03-14,0,0,0,0,Europe,0,False
Tibet,China,2020-07-26,1,0,1,0,Western Pacific,1,False
0,Austria,2020-03-29,8788,86,479,8223,Europe,8788,False
South Australia,Australia,2020-02-19,2,0,2,0,Western Pacific,2,False
0,Mauritania,2020-03-07,0,0,0,0,Africa,0,False
Saint Pierre and Miquelon,France,2020-06-06,1,0,1,0,Europe,1,False
Channel Islands,United Kingdom,2020-05-06,545,40,406,99,Europe,545,False
Beijing,China,2020-04-08,588,8,455,125,Western Pacific,588,False
0,Belgium,2020-07-06,62058,9774,17091,35193,Europe,62058,False
0,Vietnam,2020-04-28,270,0,222,48,Western Pacific,270,False
British Columbia,Canada,2020-03-29,884,17,0,867,Americas,884,False
0,Argentina,2020-07-16,114783,2112,49120,63551,Americas,114783,False
Prince Edward Island,Canada,2020-04-08,25,1,0,24,Americas,25,False
0,Qatar,2020-07-02,97897,118,86597,11182,Eastern Mediterranean,97897,False
0,Belgium,2020-02-02,0,0,0,0,Europe,0,False
0,Nepal,2020-03-27,4,0,1,3,South-East Asia,4,False
Greenland,Greenland,2020-04-30,11,0,11,0,Europe,11,False
0,Lithuania,2020-07-12,1869,79,1571,219,Europe,1869,False
Macau,China,2020-04-26,45,0,31,14,Western Pacific,45,False
Greenland,Greenland,2020-03-03,0,0,0,0,Europe,0,False
0,Zimbabwe,2020-05-28,149,4,28,117,Africa,149,False
0,United Arab Emirates,2020-04-27,10839,82,2090,8667,Eastern Mediterranean,10839,False
0,Estonia,2020-06-10,1958,69,1690,199,Europe,1958,False
0,Eswatini,2020-04-06,10,0,4,6,Africa,10,False
Inner Mongolia,China,2020-06-09,237,1,230,6,Western Pacific,237,False
0,Portugal,2020-06-11,35910,1504,22002,12404,Europe,35910,False
0,Andorra,2020-02-16,0,0,0,0,Europe,0,False
0,Saint Kitts and Nevis,2020-07-08,16,0,15,1,Americas,16,False
Beijing,China,2020-02-25,400,4,215,181,Western Pacific,400,False
Aruba,Netherlands,2020-07-21,117,3,100,14,Europe,117,False
0,Cambodia,2020-02-16,1,0,1,0,Western Pacific,1,False
0,Mongolia,2020-01-26,0,0,0,0,Western Pacific,0,False
0,Argentina,2020-06-07,22794,664,6909,15221,Americas,22794,False
0,Serbia,2020-03-01,0,0,0,0,Europe,0,False
0,Saint Lucia,2020-07-20,23,0,19,4,Americas,23,False
0,El Salvador,2020-04-01,32,1,0,31,Americas,32,False
0,Montenegro,2020-01-26,0,0,0,0,Europe,0,False
0,Gabon,2020-02-15,0,0,0,0,Africa,0,False
0,Uruguay,2020-06-22,882,25,815,42,Americas,882,False
0,Netherlands,2020-05-07,41774,5288,0,36486,Europe,41774,False
0,Western Sahara,2020-03-24,0,0,0,0,Africa,0,False
Turks and Caicos Islands,United Kingdom,2020-02-11,0,0,0,0,Europe,0,False
0,Liberia,2020-02-07,0,0,0,0,Africa,0,False
Sint Maarten,Netherlands,2020-02-05,0,0,0,0,Europe,0,False
0,United Kingdom,2020-02-04,8,0,0,8,Europe,8,False
0,Bosnia and Herzegovina,2020-04-05,654,23,30,601,Europe,654,False
0,Finland,2020-04-28,4740,199,2800,1741,Europe,4740,False
0,Ecuador,2020-04-01,2748,93,58,2597,Americas,2748,False
0,Thailand,2020-05-04,2987,54,2740,193,South-East Asia,2987,False
Mayotte,France,2020-07-24,2862,38,2650,174,Europe,2862,False
0,Thailand,2020-03-31,1651,10,342,1299,South-East Asia,1651,False
0,Austria,2020-04-10,13555,319,6064,7172,Europe,13555,False
0,Belgium,2020-04-18,37183,5453,8348,23382,Europe,37183,False
0,Poland,2020-02-28,0,0,0,0,Europe,0,False
Tasmania,Australia,2020-03-08,2,0,0,2,Western Pacific,2,False
Zhejiang,China,2020-07-23,1270,1,1267,2,Western Pacific,1270,False
0,Burkina Faso,2020-04-29,641,43,498,100,Africa,641,False
0,Botswana,2020-04-10,13,1,0,12,Africa,13,False
Manitoba,Canada,2020-03-27,39,1,0,38,Americas,39,False
0,Venezuela,2020-02-03,0,0,0,0,Americas,0,False
0,United Arab Emirates,2020-05-25,30307,248,15657,14402,Eastern Mediterranean,30307,False
0,Taiwan*,2020-04-01,329,5,39,285,Western Pacific,329,False
0,Guinea,2020-06-17,4668,26,3364,1278,Africa,4668,False
St Martin,France,2020-06-29,43,3,37,3,Europe,43,False
Guadeloupe,France,2020-05-10,154,13,104,37,Europe,154,False
Australian Capital Territory,Australia,2020-04-09,100,2,47,51,Western Pacific,100,False
0,Lesotho,2020-03-25,0,0,0,0,Africa,0,False
Tasmania,Australia,2020-07-16,228,13,215,0,Western Pacific,228,False
0,Timor-Leste,2020-06-09,24,0,0,24,South-East Asia,24,False
Yunnan,China,2020-02-22,174,2,107,65,Western Pacific,174,False
Shanxi,China,2020-02-24,133,0,94,39,Western Pacific,133,False
Queensland,Australia,2020-06-18,1066,6,1053,7,Western Pacific,1066,False
0,Argentina,2020-02-05,0,0,0,0,Americas,0,False
0,Somalia,2020-04-16,80,5,2,73,Eastern Mediterranean,80,False
0,Uruguay,2020-02-14,0,0,0,0,Americas,0,False
0,Equatorial Guinea,2020-03-17,1,0,0,1,Africa,1,False
0,Morocco,2020-01-31,0,0,0,0,Eastern Mediterranean,0,False
0,Oman,2020-02-13,0,0,0,0,Eastern Mediterranean,0,False
Gibraltar,United Kingdom,2020-06-10,176,0,169,7,Europe,176,False
Ningxia,China,2020-04-10,75,0,75,0,Western Pacific,75,False
New South Wales,Australia,2020-02-12,4,0,2,2,Western Pacific,4,False
0,Gabon,2020-06-11,3463,23,1024,2416,Africa,3463,False
0,Seychelles,2020-05-08,11,0,8,3,Africa,11,False
New Brunswick,Canada,2020-01-27,0,0,0,0,Americas,0,False
0,Morocco,2020-07-03,13288,230,9160,3898,Eastern Mediterranean,13288,False
0,Philippines,2020-04-20,6459,428,613,5418,Western Pacific,6459,False
0,Seychelles,2020-07-04,81,0,11,70,Africa,81,False
Saskatchewan,Canada,2020-06-06,650,11,0,639,Americas,650,False
0,Kyrgyzstan,2020-04-23,631,8,302,321,Europe,631,False
0,Burkina Faso,2020-05-06,729,48,555,126,Africa,729,False
0,Mali,2020-04-25,370,21,91,258,Africa,370,False
0,Slovakia,2020-02-14,0,0,0,0,Europe,0,False
Tianjin,China,2020-05-16,192,3,187,2,Western Pacific,192,False
Western Australia,Australia,2020-06-23,607,9,594,4,Western Pacific,607,False
0,Gambia,2020-04-01,4,1,2,1,Africa,4,False
0,Guinea,2020-07-13,6141,37,4862,1242,Africa,6141,False
0,Saint Lucia,2020-05-11,18,0,17,1,Americas,18,False
Macau,China,2020-06-01,45,0,45,0,Western Pacific,45,False
0,Liberia,2020-06-08,370,30,195,145,Africa,370,False
Montserrat,United Kingdom,2020-04-11,9,0,0,9,Europe,9,False
0,Andorra,2020-03-26,224,3,1,220,Europe,224,False
0,Niger,2020-05-03,750,36,518,196,Africa,750,False
0,Bahamas,2020-04-07,33,6,5,22,Americas,33,False
New Brunswick,Canada,2020-03-07,0,0,0,0,Americas,0,False
0,Botswana,2020-02-28,0,0,0,0,Africa,0,False
0,Togo,2020-07-17,766,15,546,205,Africa,766,False
0,South Korea,2020-06-27,12715,282,11364,1069,Western Pacific,12715,False
0,Slovakia,2020-07-07,1767,28,1473,266,Europe,1767,False
Aruba,Netherlands,2020-04-30,100,2,79,19,Europe,100,False
0,Israel,2020-06-25,22400,309,16007,6084,Europe,22400,False
Liaoning,China,2020-02-10,108,0,13,95,Western Pacific,108,False
0,Egypt,2020-02-25,1,0,0,1,Eastern Mediterranean,1,False
0,Switzerland,2020-01-26,0,0,0,0,Europe,0,False
0,Congo (Brazzaville),2020-06-06,683,22,210,451,Africa,683,False
0,Ecuador,2020-07-12,67870,5047,30283,32540,Americas,67870,False
Tianjin,China,2020-04-26,190,3,182,5,Western Pacific,190,False
Jiangsu,China,2020-05-25,653,0,653,0,Western Pacific,653,False
0,Taiwan*,2020-05-02,432,6,324,102,Western Pacific,432,False
Saskatchewan,Canada,2020-02-18,0,0,0,0,Americas,0,False
0,Nepal,2020-06-27,12309,28,2834,9447,South-East Asia,12309,False
0,Costa Rica,2020-04-17,649,4,88,557,Americas,649,False
Isle of Man,United Kingdom,2020-02-21,0,0,0,0,Europe,0,False
0,Liberia,2020-04-19,91,8,7,76,Africa,91,False
Newfoundland and Labrador,Canada,2020-05-28,261,3,0,258,Americas,261,False
